epoch,train_loss,train_acc1,test_acc1,cls_loss,pca_loss,gl_loss,gan_loss,lr
0,1.03133,53.64583,76.53333,1.03133,1.08641,2.28532,0.70165,0.00013
1,0.72125,76.40788,90.8,0.72125,1.07667,1.52082,0.78514,0.0026
2,0.65055,80.63965,92.6,0.65055,1.09046,1.31671,1.15429,0.00507
3,0.63918,81.28255,93.06667,0.63918,1.09088,1.267,1.52051,0.00755
4,0.62928,82.08008,92.66667,0.62928,1.0735,1.24669,1.80503,0.01003
5,0.62119,82.2347,92.8,0.62119,1.09058,1.21828,2.03124,0.0125
6,0.59845,83.42285,91.26667,0.59845,1.08485,1.20909,2.20115,0.0125
7,0.59407,83.37402,94.66667,0.59407,1.08138,1.17489,2.33174,0.0125
8,0.5906,84.24479,94.33333,0.5906,1.08282,1.16075,2.43749,0.0125
9,0.58832,84.49707,94.46667,0.58832,1.07672,1.14024,2.52196,0.0125
10,0.56397,86.16536,93.53333,0.56397,1.09143,1.1048,2.59561,0.0125
11,0.55192,86.90592,93.8,0.55192,1.0635,1.11423,2.65845,0.0125
12,0.54775,86.95475,95.06667,0.54775,1.08425,1.06909,2.71317,0.0125
13,0.54183,87.46745,95.46667,0.54183,1.09758,1.0873,2.76659,0.0125
14,0.54007,86.90592,93.93333,0.54007,1.08781,1.07897,2.8139,0.0125
15,0.53433,87.50814,94.73333,0.53433,1.11179,1.05118,2.85664,0.0125
16,0.53205,87.89876,95.0,0.53205,1.08915,1.03969,2.89277,0.0125
17,0.51572,89.01367,95.4,0.51572,1.09248,1.05327,2.93094,0.0125
18,0.51246,89.52637,95.0,0.51246,1.09892,1.0485,2.96338,0.0125
19,0.50748,89.26595,94.8,0.50748,1.11005,1.03978,2.99618,0.0125
20,0.49545,90.0472,94.2,0.49545,1.10372,1.01694,3.02499,0.0125
21,0.51117,89.31478,94.8,0.51117,1.10445,1.03699,3.05206,0.0125
22,0.50349,89.71354,94.53333,0.50349,1.09036,1.02863,3.0782,0.0125
23,0.50316,89.95768,92.66667,0.50316,1.10167,1.01121,3.10475,0.0125
24,0.50733,89.26595,93.6,0.50733,1.08603,1.0091,3.12851,0.0125
25,0.49403,90.22624,96.0,0.49403,1.09859,1.0204,3.15434,0.0125
26,0.65474,90.68197,93.93333,0.4862,0.85785,0.96029,3.17753,0.0125
27,0.82711,90.82845,94.4,0.49199,0.76903,0.93229,3.20218,0.0125
28,0.99132,90.72266,93.4,0.48656,0.72905,0.89519,3.22381,0.0125
29,1.14993,90.98307,92.66667,0.48019,0.69624,0.87066,3.24619,0.0125
30,1.33263,90.44596,94.8,0.49365,0.66986,0.88123,3.26982,0.0125
31,1.47986,90.81217,94.4,0.47948,0.6428,0.81923,3.29014,0.0125
32,1.66025,90.75521,94.13333,0.48712,0.63079,0.84059,3.31272,0.0125
33,1.81442,91.1377,93.46667,0.4785,0.6151,0.78109,3.33183,0.0125
34,1.99305,90.99121,96.33333,0.48296,0.61806,0.78646,3.35466,0.0125
35,2.14406,91.21908,93.13333,0.47468,0.5972,0.74025,3.36244,0.00125
36,2.11019,93.05827,95.46667,0.44869,0.57576,0.71997,3.36717,0.00125
37,2.12095,92.70833,95.93333,0.4545,0.60252,0.71663,3.36761,0.00125
38,2.11124,93.3431,96.73333,0.45051,0.59262,0.70463,3.36851,0.00125
39,2.09862,93.3431,95.0,0.44078,0.58576,0.69547,3.37172,0.00125
40,2.11195,92.83854,95.8,0.45376,0.57476,0.7013,3.37289,0.00125
41,2.106,93.43262,95.73333,0.44653,0.57998,0.70117,3.37641,0.00125
42,2.09514,93.35124,96.33333,0.43975,0.57071,0.67837,3.37748,0.00125
43,2.10692,93.03385,96.33333,0.4467,0.57399,0.70004,3.3818,0.00125
44,2.09533,93.56283,95.8,0.43741,0.57393,0.68444,3.38068,0.00125
45,2.09361,93.67676,96.6,0.4376,0.56607,0.67884,3.38269,0.00125
46,2.08904,93.73372,96.33333,0.43401,0.5627,0.67602,3.38444,0.00125
47,2.09219,93.87207,96.66667,0.43437,0.58032,0.67087,3.38501,0.00125
48,2.08228,94.14062,96.66667,0.42914,0.56419,0.65802,3.38838,0.00125
49,2.09226,93.65234,96.66667,0.43661,0.56573,0.66095,3.3892,0.00125
50,2.08618,94.18945,96.53333,0.43009,0.55569,0.67204,3.39104,0.00125
51,2.07671,94.59635,96.73333,0.42398,0.55739,0.65942,3.39162,0.00125
52,2.08667,93.90462,96.66667,0.43008,0.55824,0.67005,3.39532,0.00125
53,2.08647,93.99414,96.0,0.43092,0.55868,0.66434,3.39673,0.00125
54,2.09406,93.63607,96.66667,0.43656,0.54538,0.67931,3.39981,0.00125
55,2.08854,94.23828,96.46667,0.43049,0.55869,0.66881,3.40032,0.00125
56,2.08448,94.14062,96.26667,0.42932,0.54734,0.65696,3.4033,0.00125
57,2.08724,94.23828,96.33333,0.43004,0.55348,0.65434,3.40654,0.00125
58,2.09537,94.0918,96.33333,0.43535,0.55135,0.66725,3.4055,0.00125
59,2.08185,94.3278,96.06667,0.4266,0.55345,0.63689,3.41023,0.00125
60,2.09223,93.72559,96.73333,0.43531,0.54206,0.65972,3.40988,0.00125
61,2.08314,93.91276,96.53333,0.42896,0.54975,0.63412,3.41117,0.00125
62,2.0777,94.27897,96.06667,0.42274,0.55058,0.63043,3.41252,0.00125
63,2.08972,93.88835,94.8,0.43391,0.55001,0.63789,3.41467,0.00125
64,2.07916,94.46615,96.26667,0.42405,0.54223,0.63323,3.41711,0.00125
65,2.07955,94.60449,96.66667,0.42269,0.53924,0.64146,3.4185,0.00013
66,2.08631,94.23014,96.2,0.42978,0.54281,0.63479,3.41765,0.00013
67,2.08249,94.18132,96.46667,0.42851,0.54122,0.62841,3.41817,0.00013
68,2.08374,94.46615,96.13333,0.4274,0.54086,0.64194,3.41767,0.00013
69,2.09166,93.96973,96.26667,0.43216,0.54879,0.64417,3.42081,0.00013
70,2.07842,94.65332,96.53333,0.42129,0.54461,0.63875,3.41927,0.00013
71,2.06081,95.18229,96.13333,0.40924,0.54292,0.61237,3.41821,0.00013
72,2.07828,94.41732,96.4,0.42202,0.54264,0.63488,3.41947,0.00013
73,2.09097,93.86393,96.4,0.43207,0.54175,0.64848,3.41882,0.00013
74,2.0791,94.53939,96.46667,0.41999,0.54392,0.64353,3.42022,0.00013
75,2.07908,94.61263,96.13333,0.4238,0.54155,0.62855,3.42061,0.00013
76,2.08358,94.49056,96.66667,0.42405,0.53828,0.6525,3.42087,0.00013
77,2.08407,94.40104,95.73333,0.42682,0.54042,0.63554,3.42107,0.00013
78,2.08477,94.3278,96.26667,0.42636,0.54748,0.6353,3.42008,0.00013
79,2.07986,94.47428,95.53333,0.42483,0.53818,0.62827,3.42172,0.00013
80,2.09256,94.0918,96.13333,0.43096,0.54087,0.65645,3.42223,0.00013
81,2.09281,94.11621,96.4,0.43141,0.5354,0.66358,3.41957,0.00013
82,2.08521,94.38477,96.33333,0.42787,0.54351,0.63885,3.42028,0.00013
83,2.08769,94.1569,96.33333,0.42965,0.53214,0.64863,3.42137,0.00013
84,2.08042,94.55566,95.33333,0.42192,0.54261,0.64015,3.42348,0.00013
85,2.07641,94.36035,96.4,0.41923,0.54763,0.62891,3.42135,0.00013
86,2.08907,93.96973,96.6,0.43108,0.54664,0.63672,3.42145,0.00013
87,2.08304,94.42546,96.53333,0.42423,0.53948,0.64031,3.42301,0.00013
88,2.08807,94.21387,96.46667,0.4294,0.53894,0.64306,3.42319,0.00013
89,2.08492,94.38477,95.93333,0.42799,0.53176,0.64721,3.42382,0.00013
90,2.06441,94.76725,96.33333,0.41548,0.53219,0.60416,3.42251,0.00013
91,2.08099,94.42546,96.26667,0.42464,0.53805,0.63217,3.4235,0.00013
92,2.07347,94.92188,95.6,0.41814,0.54055,0.62406,3.42419,0.00013
93,2.07694,94.31966,96.6,0.42568,0.53323,0.61112,3.42263,0.00013
94,2.07535,94.67773,96.66667,0.42039,0.53397,0.62687,3.42152,0.00013
95,2.08107,94.55566,96.2,0.42324,0.53717,0.63926,3.42329,1e-05
96,2.08076,94.78353,96.66667,0.42342,0.5319,0.64638,3.42344,1e-05
97,2.07629,94.3278,96.53333,0.42425,0.54244,0.60764,3.42482,1e-05
98,2.07711,94.6696,96.4,0.42216,0.53908,0.62573,3.4232,1e-05
99,2.08486,94.49056,96.2,0.42573,0.53548,0.64142,3.42528,1e-05
100,2.07137,94.64518,95.26667,0.41787,0.54809,0.60747,3.42351,1e-05
101,2.0764,94.5638,96.33333,0.4213,0.54226,0.6282,3.42251,1e-05
102,2.0749,94.76725,96.06667,0.41899,0.53647,0.6295,3.42438,1e-05
103,2.0813,94.31966,96.4,0.42594,0.54416,0.62175,3.42286,1e-05
104,2.07708,94.77539,96.2,0.42042,0.53552,0.63124,3.42372,1e-05
105,2.08234,94.83236,96.73333,0.42384,0.54248,0.63846,3.42367,1e-05
106,2.07748,94.79167,96.2,0.42027,0.54072,0.63252,3.42465,1e-05
107,2.07637,94.62077,95.8,0.42023,0.536,0.63251,3.4235,1e-05
108,2.07939,94.44987,94.93333,0.42334,0.53727,0.62867,3.42596,1e-05
109,2.07911,94.67773,96.33333,0.42077,0.54487,0.63377,3.42349,1e-05
110,2.08309,94.33594,96.46667,0.426,0.54665,0.6321,3.4235,1e-05
111,2.07976,94.54753,96.46667,0.42314,0.55144,0.62138,3.42314,1e-05
112,2.07646,94.74284,96.46667,0.42158,0.53192,0.63314,3.42376,1e-05
113,2.07764,94.27897,96.13333,0.42325,0.52983,0.62497,3.42372,1e-05
114,2.0831,94.62891,96.53333,0.42439,0.54033,0.64399,3.42253,1e-05
115,2.07371,94.82422,96.53333,0.41796,0.5521,0.61427,3.42452,1e-05
116,2.07831,94.84863,96.13333,0.42018,0.55491,0.61712,3.42384,1e-05
117,2.0723,94.88932,96.6,0.41635,0.54483,0.62339,3.42172,1e-05
118,2.08262,94.4987,96.4,0.42575,0.53124,0.63722,3.42306,1e-05
119,2.07959,94.75911,95.4,0.41986,0.5498,0.64092,3.42327,1e-05
